[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q process[BHrecruitment].r0 selectivity[FishingSel].a50 selectivity[FishingSel].ato95
0.00015263 287353 7.69576 2.65777
2.75077e-005 1.25843e+006 7.70017 2.46324
2.54063e-005 1.48355e+006 8.02289 3.18556
9.2493e-005 461285 8.61625 3.67596
0.000122694 372087 8.50835 3.22015
0.000160517 312389 8.54777 3.26807
6.10376e-005 633344 7.84945 2.5948
0.00013381 318581 8.02851 2.55112
0.000200433 267161 9.22405 2.96882
0.000182121 276553 9.5466 4.73624
0.00010313 437608 8.34203 3.40535
0.000138963 297819 7.89267 2.84655
4.23044e-005 853318 7.95639 2.76362
6.77525e-005 598772 8.82281 3.49961
8.90291e-005 502135 8.49987 3.61016
0.000104163 421360 8.96458 4.00363
0.00012964 344215 8.35571 3.15345
0.000107502 409908 8.83702 3.61505
6.94705e-005 557932 8.14845 3.24312
0.000136402 343204 8.82074 3.43143
0.000156945 316135 8.84023 3.31792
8.34312e-005 482181 7.96078 3.10941
6.52402e-005 621692 8.4708 2.98452
0.000176466 261773 8.36622 3.16409
0.000154937 333563 8.94361 3.326
0.0001404 345274 9.27252 3.64919
0.000160413 300963 9.00468 3.88363
0.000157174 288906 9.0916 3.53844
0.000148477 338721 9.21773 4.53043
0.000172104 297737 9.58021 4.24684
7.16551e-005 603036 8.63909 3.0391
0.000100857 409412 8.62773 2.61124
9.24777e-005 451506 8.69651 3.74263
8.33981e-005 485225 7.99447 2.71629
0.000103859 418306 8.76838 3.3657
0.000104602 426828 8.08995 2.51675
8.61963e-005 477199 8.66241 3.48497
0.000119232 370907 9.16838 4.16987
9.03999e-005 537502 9.37332 4.05142
7.6689e-005 521683 8.16693 2.62342
0.000156672 305406 8.7721 3.6336
0.000138616 335064 8.68235 3.26948
8.34393e-005 388673 7.67403 2.57091
0.000128166 375153 8.78353 3.03553
0.000112477 387279 8.83532 3.52139
0.000115555 421139 8.86663 3.72492
0.000140458 349161 9.30458 3.98053
0.00020854 274750 9.27725 3.4193
0.000169783 314098 9.31213 3.75739
0.000142109 296087 7.93919 2.86018
0.000162156 295774 8.55424 3.30222
9.31305e-005 456527 9.12845 4.24686
0.000156127 291344 8.67616 3.45927
6.21534e-005 594093 8.01663 2.59434
0.000146061 335278 8.88297 3.6824
0.000105925 371954 7.91382 2.92093
0.000173819 303544 8.92471 3.41867
0.000142908 329506 8.64124 3.26234
8.9748e-005 480858 8.31775 3.367
0.000135215 315834 8.03938 3.12882
0.00013931 341895 8.35898 2.91982
0.000135159 354074 8.88417 3.98955
8.24983e-005 504795 8.38732 3.03613
0.000106639 400190 8.78208 3.15164
0.000126114 379122 8.678 3.02731
9.23349e-005 489756 9.07011 4.04222
0.000127613 371951 8.47756 3.14375
9.7333e-005 474212 9.03327 3.42582
9.99972e-005 382463 8.28667 2.78745
0.00011923 364954 8.40161 3.31822
0.000160445 341315 9.1964 3.85692
0.000157069 293671 8.62944 3.43189
0.000137087 322530 8.61666 3.15994
0.000146129 342767 9.49944 4.19502
0.0001327 413040 8.78233 3.25045
0.000139592 321936 8.19751 2.65995
0.000128152 325560 8.50424 3.18987
0.000159312 295709 8.65364 3.59849
0.000159266 299101 8.97101 3.66722
0.000126252 360340 8.88631 4.07017
7.6327e-005 452600 8.28571 3.47521
7.96751e-005 492449 8.94841 3.88519
0.000118404 396681 8.62316 3.39312
8.38808e-005 549219 9.42794 4.34228
0.000176973 302311 8.96845 3.18136
0.000149789 331474 9.10143 4.00836
0.000204713 267925 9.55149 4.24032
0.000146879 334702 9.36328 3.78998
5.23084e-005 705577 8.10226 3.22777
7.76275e-005 556118 9.02597 4.20401
3.83015e-005 1.06709e+006 8.63765 3.12063
9.52665e-005 482312 9.22966 3.60217
0.000143183 318802 8.90296 3.23216
0.000114187 392045 8.75852 3.78371
0.000106707 454141 9.12841 3.72225
0.000102008 485886 8.81452 3.47174
0.000188099 270261 8.63198 3.84753
0.00018387 282306 8.78582 3.30655
0.000211583 258139 8.98554 3.99536
0.0001936 276020 9.87838 3.97553
0.000166609 294022 8.35792 3.11782
0.000197365 270556 9.43796 4.13308
0.00013243 318579 8.18305 3.197
8.69914e-005 444173 7.65989 3.39354
0.000160746 302222 9.02047 3.50847
0.000136856 318997 8.12767 3.43161
0.000105752 437690 8.53723 3.2118
8.01726e-005 516940 8.58697 3.78959
0.000113228 402700 9.2439 3.69961
0.000131489 374532 8.59019 3.11079
9.09078e-005 427283 8.41549 2.9955
0.000122588 393146 9.07259 3.75976
7.35339e-005 493817 8.2073 3.31749
0.000125972 372170 8.71322 3.25738
0.00016732 274322 8.11095 2.94224
0.000196458 264058 8.74029 3.11232
0.000145495 347121 9.35378 4.2061
0.000136581 367603 8.73557 3.35812
3.72474e-005 994223 8.20457 2.88816
0.000112961 457386 9.55231 4.44296
0.000187097 291922 10.124 4.77951
0.000146425 334372 8.2994 2.91044
0.000132604 349703 8.54709 3.76344
0.000152008 324048 8.8418 3.52672
0.000125041 398077 8.93787 3.5446
0.000133103 336842 7.94047 2.73019
0.000167321 312720 9.60161 4.03655
0.000139831 350880 9.10481 4.25441
0.000170841 283614 9.10392 4.46165
0.000139973 348054 9.28656 3.81262
0.000111265 378194 8.13603 2.35404
4.74733e-005 766937 8.39552 3.26087
0.000127218 370834 8.38541 2.38683
0.000165663 273735 8.44169 2.59317
0.000162342 302870 8.45832 3.34782
0.000151732 333892 8.80729 3.073
0.000164633 318960 9.1629 3.80292
0.000140877 312204 9.07644 3.80367
2.54458e-005 1.36042e+006 7.73207 2.28035
3.40477e-005 1.30526e+006 8.9034 3.62581
1.8683e-005 1.78461e+006 8.30275 3.75453
2.43207e-005 1.75443e+006 8.5709 3.16112
0.000131108 360811 8.96206 3.88915
9.94275e-005 401370 8.65883 3.3817
0.000103781 443954 9.53655 4.26311
0.000150081 318948 8.85256 4.07643
0.00016335 276680 8.75588 3.13775
0.00015022 351659 8.86926 3.53468
0.000139653 360092 9.08752 3.46346
9.39933e-005 442823 8.57695 3.29925
0.000111418 382537 8.18788 2.83681
0.000103187 421404 8.78677 3.34693
0.000154516 296307 8.38233 3.45388
0.000104766 408916 8.33842 3.24745
9.32097e-005 459192 8.12331 2.87059
0.000100039 426866 8.68768 3.52601
5.7213e-005 642703 7.92302 3.33724
0.000105753 434107 8.73168 3.99728
0.000126416 356396 9.13326 3.51121
