[state-1]
report.type: partition
year: 1994
time_step: step_one
row column category age[1] age[2] age[3] age[4] age[5] age[6] age[7] age[8] age[9] age[10] age[11] age[12] age[13] age[14] age[15] age[16] age[17] age[18] age[19] age[20] age[21] age[22] age[23] age[24] age[25] age[26] age[27] age[28] age[29] age[30]
1 8 immature 20232 17760.1 15581.2 13647.4 11899.2 10250.1 8581.45 6823.47 5108.06 3662.64 2571.3 1789.93 1242.12 861.02 596.613 413.345 286.36 169.883 100.783 59.7891 35.4698 21.0424 12.4834 7.40574 4.39344 2.6064 1.54624 0.917306 0.54419 0.793703
1 8 mature 0.566294 6.08789 17.3939 44.2746 109.315 259.769 565.146 1031.25 1470.23 1663.68 1600.52 1390.75 1134.48 888.947 678.463 508.865 377.328 306.08 231.564 168.582 120.154 84.804 59.7921 42.4204 30.4729 22.2788 16.6399 12.7255 9.97502 57.344
1 8 spawning 0 5.12664e-05 0.000493341 0.00140141 0.00356302 0.00879496 0.0208989 0.0454678 0.082973 0.118308 0.1339 0.128848 0.111992 0.0913852 0.0716343 0.0546981 0.0410479 0.030458 0.024717 0.0187147 0.01364 0.00973595 0.00688455 0.00486528 0.00346131 0.00249439 0.00183014 0.0013723 0.0010544 0.00569839
1 11 immature 20251.9 17777.6 15596.6 13660.8 11910.9 10260.2 8589.89 6830.17 5113.08 3666.24 2573.83 1791.68 1243.34 861.866 597.199 413.752 286.642 170.05 100.882 59.8479 35.5047 21.0631 12.4956 7.41302 4.39776 2.60896 1.54776 0.918208 0.544725 0.794483
1 11 mature 20.9759 15.929 21.8623 45.6378 107.996 254.449 552.461 1006.95 1433.29 1618.38 1553.31 1346.95 1097.19 859.307 656.336 493.416 367.438 300.051 228.7 168.234 121.686 87.6412 63.4516 46.5252 34.7439 26.5196 20.7193 16.5603 13.5128 83.7126
1 11 spawning 0 0.000795329 0.00060796 0.000842675 0.00176714 0.00418664 0.0098668 0.0214252 0.0390568 0.0556084 0.0628148 0.0603192 0.0523355 0.0426583 0.0334337 0.0255581 0.019233 0.0143394 0.0117171 0.008943 0.00659105 0.00477892 0.00345196 0.0025077 0.00184571 0.00138385 0.0010605 0.000831686 0.00066698 0.00394412
1 12 immature 20232 17760.1 15581.2 13647.4 11899.2 10250.1 8581.45 6823.47 5108.06 3662.64 2571.3 1789.93 1242.12 861.02 596.613 413.345 286.36 169.883 100.783 59.7891 35.4698 21.0424 12.4834 7.40574 4.39344 2.6064 1.54624 0.917306 0.54419 0.793703
1 12 mature 19.3374 14.6401 21.3063 46.0182 109.96 259.695 564.365 1029.77 1468.55 1662.71 1600.91 1392.76 1138.16 894.23 685.198 516.829 386.244 315.575 241.441 178.567 130.004 94.3284 68.8505 50.9195 38.3572 29.5225 23.2405 18.6954 15.3302 94.4261
1 12 spawning 0 0.00131524 0.00102316 0.00151399 0.00328371 0.00785147 0.0185446 0.0403007 0.0735333 0.104862 0.118721 0.114307 0.0994524 0.0812873 0.0638862 0.0489763 0.0369668 0.0276512 0.0226103 0.0173177 0.0128267 0.00935619 0.00680481 0.00498089 0.00369544 0.00279317 0.00215713 0.0017035 0.00137392 0.00811307
1 13 immature 20190.8 17723.9 15549.5 13619.6 11875 10229.3 8563.98 6809.57 5097.66 3655.18 2566.07 1786.28 1239.59 859.266 595.398 412.503 285.777 169.537 100.577 59.6673 35.3976 20.9995 12.4579 7.39065 4.38449 2.60109 1.54309 0.915438 0.543082 0.792086
1 13 mature 1.79962 7.10987 17.9765 44.4995 109.239 259.333 564.206 1029.96 1469.66 1665.47 1605.72 1399.54 1146.53 903.728 695.368 527.27 396.627 325.617 251.023 187.574 138.35 101.972 75.781 57.154 43.9302 34.4795 27.632 22.5729 18.7402 116.972
1 13 spawning 0 0.000711461 0.00137691 0.00312314 0.007581 0.0185445 0.0439962 0.0957075 0.174715 0.249315 0.282554 0.272441 0.237486 0.194587 0.153414 0.118081 0.0895724 0.0674131 0.0553647 0.042708 0.0319382 0.0235807 0.0174007 0.0129491 0.00978069 0.00752919 0.00591817 0.004749 0.00388225 0.0233607
1 14 immature 20113.6 17656.2 15490.1 13567.5 11829.6 10190.2 8531.24 6783.54 5078.17 3641.21 2556.26 1779.45 1234.85 855.982 593.122 410.927 284.685 168.889 100.193 59.4393 35.2623 20.9193 12.4103 7.36241 4.36773 2.59115 1.5372 0.911939 0.541006 0.789059
1 14 mature 0.167424 5.59398 16.7054 43.0478 106.686 253.808 552.338 1007.88 1436.87 1626.52 1566.92 1365.71 1120.09 885.125 683.899 521.685 395.553 327.268 254.705 192.7 144.379 108.441 82.3277 63.5217 49.9518 40.0584 32.7237 27.1676 22.847 145.514
1 14 spawning 0 0.000433477 0.00305936 0.00863426 0.0220131 0.0544334 0.129441 0.281692 0.514147 0.733342 0.830686 0.800798 0.698405 0.573101 0.453075 0.350184 0.267183 0.202607 0.167553 0.130413 0.098673 0.0739299 0.0555177 0.0421374 0.0325003 0.0255469 0.0204787 0.0167213 0.0138689 0.0856346
2 8 immature 20012.5 17567.4 15412.2 13499.3 11770.1 10138.9 8488.34 6749.43 5052.64 3622.9 2543.41 1770.5 1228.65 851.678 590.14 408.86 283.253 168.039 99.6891 59.1404 35.0849 20.8141 12.3479 7.32538 4.34577 2.57812 1.52947 0.907353 0.538286 0.785091
2 8 mature 3.27862 8.58262 20.3742 49.5959 121.178 287.386 625.643 1144.87 1641.67 1874.45 1824.45 1607.62 1332.94 1064.47 830.631 639.327 488.556 403.317 315.297 239.985 180.789 136.288 103.612 79.8505 62.5721 49.9126 40.514 33.4192 27.9765 189.038
2 8 spawning 0 0.00362897 0.0117767 0.0295073 0.072892 0.178744 0.424213 0.923319 1.68796 2.41557 2.74936 2.66489 2.33648 1.92614 1.5281 1.18349 0.903185 0.683576 0.561305 0.434514 0.326426 0.242082 0.179294 0.13373 0.101063 0.0776952 0.0608897 0.0486684 0.0396602 0.251523
2 9 immature 20063.9 17612.5 15451.8 13534 11800.3 10165 8510.15 6766.77 5065.61 3632.21 2549.94 1775.05 1231.8 853.865 591.655 409.911 283.981 168.471 99.9452 59.2923 35.1751 20.8675 12.3796 7.3442 4.35693 2.58474 1.53339 0.909684 0.539668 0.787108
2 9 mature 3.65895 8.98108 19.7543 46.8849 113.852 269.675 587.062 1074.82 1542.99 1765.1 1722.52 1522.92 1268.12 1018.24 800.15 621.402 480.216 400.031 317.05 245.69 189.162 146.209 114.23 90.5638 72.9789 59.7633 49.6669 41.8081 35.587 248.389
2 9 spawning 0 0.00320449 0.00624205 0.013555 0.0322871 0.0785352 0.186093 0.405047 0.741098 1.06248 1.21286 1.18035 1.04021 0.862998 0.690079 0.539722 0.416906 0.320229 0.265809 0.209345 0.160901 0.122705 0.0938716 0.0725656 0.0569383 0.0454439 0.036901 0.0304531 0.0255058 0.17184
2 10 immature 20078.1 17625 15462.7 13543.5 11808.7 10172.2 8516.17 6771.55 5069.2 3634.78 2551.74 1776.31 1232.67 854.469 592.074 410.201 284.182 168.59 100.016 59.3343 35.2 20.8823 12.3884 7.3494 4.36002 2.58657 1.53448 0.910327 0.54005 0.787665
2 10 mature 18.2524 13.8855 20.9778 46.0457 110.416 260.987 567.638 1037.69 1485.64 1693.24 1646.11 1450.72 1205.35 966.951 760.235 591.646 458.962 384.814 306.697 239.343 185.956 145.326 114.964 92.3518 75.3975 62.506 52.5205 44.6282 38.2753 269.164
2 10 spawning 0 0.00972351 0.00795926 0.0123735 0.0272626 0.0653759 0.154508 0.336004 0.614077 0.878636 1.00031 0.970782 0.853496 0.706947 0.564937 0.44208 0.342119 0.263661 0.220052 0.17419 0.134753 0.103638 0.080111 0.0626689 0.0498039 0.0402639 0.0330971 0.0276161 0.0233434 0.158969
2 11 immature 20063.9 17612.5 15451.8 13534 11800.3 10165 8510.15 6766.77 5065.61 3632.21 2549.94 1775.05 1231.8 853.865 591.655 409.911 283.981 168.471 99.9452 59.2923 35.1751 20.8675 12.3796 7.3442 4.35693 2.58474 1.53339 0.909684 0.539668 0.787108
2 11 mature 4.01018 9.13862 19.6714 46.4321 112.64 266.744 580.449 1061.64 1521.1 1735.18 1687.97 1487.93 1236.02 991.014 778.534 605.301 469.045 392.805 312.873 243.959 189.337 147.798 116.792 93.7378 76.4816 63.3822 53.2494 45.246 38.7945 268.787
