[state-1]
report.type: partition
year: 1994
time_step: step_one
row column category age[1] age[2] age[3] age[4] age[5] age[6] age[7] age[8] age[9] age[10] age[11] age[12] age[13] age[14] age[15] age[16] age[17] age[18] age[19] age[20] age[21] age[22] age[23] age[24] age[25] age[26] age[27] age[28] age[29] age[30]
1 8 immature 18797.2 16500.6 14476.2 12679.5 11055.3 9523.21 7972.87 6339.55 4745.8 3402.89 2388.95 1662.99 1154.03 799.957 554.302 384.031 266.052 184.314 127.688 75.7504 44.9388 26.6599 15.8159 9.38277 5.56631 3.30221 1.95903 1.16219 0.689467 1.00559
1 8 mature 1.53834 5.70918 13.9996 34.534 84.6882 200.227 430.565 764.271 1033.05 1081.96 953.6 762.225 579.69 431.296 318.905 236.456 176.727 133.554 102.237 91.0415 71.4236 54.5005 41.9095 32.9193 26.4967 21.8126 18.2949 15.5739 13.4188 97.7457
1 8 spawning 0 1.00675e-012 2.79865e-012 6.70397e-012 1.64988e-011 4.04299e-011 9.56675e-011 2.05659e-010 3.65333e-010 4.94765e-010 5.1898e-010 4.58783e-010 3.68516e-010 2.8183e-010 2.10832e-010 1.57058e-010 1.17481e-010 8.86331e-011 6.77574e-011 5.24238e-011 4.6704e-011 3.70406e-011 2.86775e-011 2.23785e-011 1.78275e-011 1.45146e-011 1.20615e-011 1.02052e-011 8.74678e-012 6.31672e-011
1 11 immature 18797.2 16500.6 14476.2 12679.5 11055.3 9523.21 7972.87 6339.55 4745.8 3402.89 2388.95 1662.99 1154.03 799.957 554.302 384.031 266.052 184.314 127.688 75.7504 44.9388 26.6599 15.8159 9.38277 5.56631 3.30221 1.95903 1.16219 0.689467 1.00559
1 11 mature 15.63 8.74599 14.654 34.737 84.9459 200.875 432.279 768.603 1042.32 1097.02 972.447 781.86 598.009 447.41 332.697 248.137 186.593 141.894 109.299 96.9977 76.6324 59.0011 45.7419 36.1663 29.2502 24.1534 20.2872 17.2632 14.8309 102.919
1 11 spawning 0 8.80718e-012 5.36549e-012 9.41647e-012 2.24567e-011 5.49747e-011 1.30001e-010 2.79869e-010 4.97948e-010 6.76664e-010 7.14067e-010 6.35339e-010 5.13182e-010 3.94721e-010 2.97462e-010 2.23082e-010 1.67887e-010 1.27585e-010 9.8126e-011 7.64402e-011 6.79421e-011 5.42713e-011 4.23626e-011 3.33245e-011 2.67093e-011 2.18492e-011 1.82006e-011 1.53975e-011 1.31593e-011 9.03668e-011
1 12 immature 18797.2 16500.6 14476.2 12679.5 11055.3 9523.21 7972.87 6339.55 4745.8 3402.89 2388.95 1662.99 1154.03 799.957 554.302 384.031 266.052 184.314 127.688 75.7504 44.9388 26.6599 15.8159 9.38277 5.56631 3.30221 1.95903 1.16219 0.689467 1.00559
1 12 mature 13.8481 8.42996 15.3294 36.8423 90.252 213.512 459.706 818.283 1112.01 1173.75 1043.7 841.669 645.657 484.536 361.48 270.546 204.194 155.867 120.517 106.783 84.7479 65.5806 51.082 40.5507 32.8992 27.2272 22.9001 19.4966 16.7412 114.411
1 12 spawning 0 7.62856e-012 5.2216e-012 9.83302e-012 2.3725e-011 5.81082e-011 1.37533e-010 2.96183e-010 5.27393e-010 7.17478e-010 7.58746e-010 6.76096e-010 5.47118e-010 4.21835e-010 3.18494e-010 2.39424e-010 1.80847e-010 1.37803e-010 1.06269e-010 8.29843e-011 7.36335e-011 5.9039e-011 4.62137e-011 3.64686e-011 2.92921e-011 2.40021e-011 2.00284e-011 1.69447e-011 1.44844e-011 9.81686e-011
1 13 immature 18797.2 16500.6 14476.2 12679.5 11055.3 9523.21 7972.87 6339.55 4745.8 3402.89 2388.95 1662.99 1154.03 799.957 554.302 384.031 266.052 184.314 127.688 75.7504 44.9388 26.6599 15.8159 9.38277 5.56631 3.30221 1.95903 1.16219 0.689467 1.00559
1 13 mature 3.1015 6.44293 15.0616 37.1955 91.3769 216.266 465.766 829.523 1128.52 1193.33 1063.88 861.039 663.7 501.128 376.611 284.24 216.497 166.851 130.273 115.547 92.5064 72.3834 57.0318 45.754 37.4495 31.2047 26.3741 22.5255 19.372 131.169
1 13 spawning 0 7.33058e-012 9.55591e-012 2.12577e-011 5.22888e-011 1.28409e-010 3.03899e-010 6.54637e-010 1.16637e-009 1.58786e-009 1.68109e-009 1.50203e-009 1.21963e-009 9.44453e-010 7.17108e-010 5.42713e-010 4.12655e-010 3.16888e-010 2.46303e-010 1.93978e-010 1.72264e-010 1.38975e-010 1.09786e-010 8.73683e-011 7.07416e-011 5.83427e-011 4.89013e-011 4.1501e-011 3.5536e-011 2.38884e-010
1 14 immature 18797.2 16500.6 14476.2 12679.5 11055.3 9523.21 7972.87 6339.55 4745.8 3402.89 2388.95 1662.99 1154.03 799.957 554.302 384.031 266.052 184.314 127.688 75.7504 44.9388 26.6599 15.8159 9.38277 5.56631 3.30221 1.95903 1.16219 0.689467 1.00559
1 14 mature 0.693663 5.29972 14.1149 35.4286 87.2101 206.447 444.547 791.361 1075.82 1137.15 1014.77 823.899 638.686 486.145 369.045 281.764 217.313 169.663 134.193 119.449 96.5837 76.5835 61.1967 49.7367 41.1519 34.5774 29.4025 25.2157 21.7386 146.64
1 14 spawning 0 7.87237e-011 2.12734e-010 5.32349e-010 1.32778e-009 3.2664e-009 7.73278e-009 1.66561e-008 2.96733e-008 4.04016e-008 4.28065e-008 3.83172e-008 3.12253e-008 2.43105e-008 1.85954e-008 1.41935e-008 1.09006e-008 8.45894e-009 6.64538e-009 5.28846e-009 4.7078e-009 3.82896e-009 3.05747e-009 2.46003e-009 2.01141e-009 1.67229e-009 1.41021e-009 1.20197e-009 1.03173e-009 6.91348e-009
2 8 immature 18797.2 16500.6 14476.2 12679.5 11055.3 9523.21 7972.87 6339.55 4745.8 3402.89 2388.95 1662.99 1154.03 799.957 554.302 384.031 266.052 184.314 127.688 75.7504 44.9388 26.6599 15.8159 9.38277 5.56631 3.30221 1.95903 1.16219 0.689467 1.00559
2 8 mature 4.08804 7.55089 16.7827 40.8678 100.059 236.634 509.7 908.621 1239.04 1316.53 1183.88 971.317 763.228 590.627 457.039 356.451 281.239 224.799 182.052 162.869 134.594 109.576 89.9197 74.8629 63.2233 54.0279 46.5925 40.4665 35.3645 263.95
2 8 spawning 0 2.23916e-009 3.93794e-009 8.8261e-009 2.15458e-008 5.2777e-008 1.24814e-007 2.68759e-007 4.78693e-007 6.51621e-007 6.90432e-007 6.18501e-007 5.05007e-007 3.94495e-007 3.03193e-007 2.32822e-007 1.80092e-007 1.40894e-007 1.11675e-007 8.97101e-008 8.01978e-008 6.57966e-008 5.31145e-008 4.32351e-008 3.57484e-008 3.00271e-008 2.55593e-008 2.19896e-008 1.9088e-008 1.40691e-007
2 9 immature 18797.2 16500.6 14476.2 12679.5 11055.3 9523.21 7972.87 6339.55 4745.8 3402.89 2388.95 1662.99 1154.03 799.957 554.302 384.031 266.052 184.314 127.688 75.7504 44.9388 26.6599 15.8159 9.38277 5.56631 3.30221 1.95903 1.16219 0.689467 1.00559
2 9 mature 5.64068 8.12709 17.0402 41.2383 100.949 238.831 514.868 919.595 1258.4 1343.13 1212.72 997.745 785.172 607.985 470.526 366.914 289.405 231.229 187.164 166.987 138.169 112.527 92.2883 76.7637 64.766 55.2955 47.6427 41.3359 36.0713 265.381
2 9 spawning 0 9.31627e-010 1.12823e-009 2.36878e-009 5.74602e-009 1.4071e-008 3.32871e-008 7.17296e-008 1.27982e-007 1.74802e-007 1.86112e-007 1.67661e-007 1.37708e-007 1.08245e-007 8.37491e-008 6.47702e-008 5.0474e-008 3.97849e-008 3.17654e-008 2.56942e-008 2.29472e-008 1.89563e-008 1.54192e-008 1.26354e-008 1.05038e-008 8.85853e-009 7.56166e-009 6.51641e-009 5.65933e-009 4.12902e-008
2 10 immature 18797.2 16500.6 14476.2 12679.5 11055.3 9523.21 7972.87 6339.55 4745.8 3402.89 2388.95 1662.99 1154.03 799.957 554.302 384.031 266.052 184.314 127.688 75.7504 44.9388 26.6599 15.8159 9.38277 5.56631 3.30221 1.95903 1.16219 0.689467 1.00559
2 10 mature 13.0319 8.81616 16.6497 40.0491 98.0479 232.016 500.276 893.862 1224.08 1308.05 1182.88 974.886 768.56 596.202 462.243 361.092 285.285 228.276 185.007 164.97 136.626 111.411 91.458 76.1139 64.23 54.8326 47.2262 40.9442 35.6794 258.192
2 10 spawning 0 1.12663e-009 8.74619e-010 1.6911e-009 4.07703e-009 9.98396e-009 2.36237e-008 5.09192e-008 9.08979e-008 1.24268e-007 1.32489e-007 1.1953e-007 9.83055e-008 7.7355e-008 5.98986e-008 4.63528e-008 3.61379e-008 2.84928e-008 2.2752e-008 1.84027e-008 1.64173e-008 1.35636e-008 1.10333e-008 9.0387e-009 7.5098e-009 6.32893e-009 5.39776e-009 4.64635e-009 4.02815e-009 2.88518e-008
2 11 immature 18797.2 16500.6 14476.2 12679.5 11055.3 9523.21 7972.87 6339.55 4745.8 3402.89 2388.95 1662.99 1154.03 799.957 554.302 384.031 266.052 184.314 127.688 75.7504 44.9388 26.6599 15.8159 9.38277 5.56631 3.30221 1.95903 1.16219 0.689467 1.00559
2 11 mature 6.54303 8.35101 17.1917 41.6656 102.116 241.711 521.273 931.632 1276.4 1364.8 1234.98 1018.4 803.229 623.284 483.295 377.498 298.153 238.449 193.12 172.035 142.388 116.008 95.1336 79.0846 66.6604 56.8417 48.8984 42.3354 36.8209 261.472
2 11 spawning 0 2.00352e-009 1.66239e-009 3.22942e-009 7.79648e-009 1.91025e-008 4.5205e-008 9.74241e-008 1.73843e-007 2.37448e-007 2.52772e-007 2.27546e-007 1.86583e-007 1.46249e-007 1.12704e-007 8.67331e-008 6.72059e-008 5.26465e-008 4.17648e-008 3.35644e-008 2.99005e-008 2.45641e-008 1.98471e-008 1.61517e-008 1.33405e-008 1.11873e-008 9.50251e-009 8.15138e-009 7.0429e-009 4.93845e-008
2 12 immature 18797.2 16500.6 14476.2 12679.5 11055.3 9523.21 7972.87 6339.55 4745.8 3402.89 2388.95 1662.99 1154.03 799.957 554.302 384.031 266.052 184.314 127.688 75.7504 44.9388 26.6599 15.8159 9.38277 5.56631 3.30221 1.95903 1.16219 0.689467 1.00559
2 12 mature 4.4255 7.75254 17.446 42.8553 105.237 249.212 537.65 961.591 1319.29 1413.77 1283.12 1062.15 841.669 656.634 512.114 402.378 319.63 256.997 209.146 186.282 154.769 126.653 104.285 86.9727 73.4768 62.7424 54.0098 46.7578 40.6278 283.731
2 12 spawning 0 6.71099e-009 6.37217e-009 1.31152e-008 3.19484e-008 7.83801e-008 1.8553e-007 3.99901e-007 7.13712e-007 9.75193e-007 1.03871e-006 9.35756e-007 7.68049e-007 6.02731e-007 4.65101e-007 3.58417e-007 2.78093e-007 2.18113e-007 1.7321e-007 1.39316e-007 1.24051e-007 1.01965e-007 8.24334e-008 6.71149e-008 5.54451e-008 4.64928e-008 3.94772e-008 3.38397e-008 2.91991e-008 2.01515e-007
2 13 immature 18797.2 16500.6 14476.2 12679.5 11055.3 9523.21 7972.87 6339.55 4745.8 3402.89 2388.95 1662.99 1154.03 799.957 554.302 384.031 266.052 184.314 127.688 75.7504 44.9388 26.6599 15.8159 9.38277 5.56631 3.30221 1.95903 1.16219 0.689467 1.00559
2 13 mature 1.84369 6.89418 17.5598 43.881 108.018 255.936 552.401 988.862 1359.22 1461.27 1332.82 1111.06 888.449 700.622 552.89 439.7 353.427 287.338 236.203 210.626 176.336 145.612 120.921 101.56 86.2564 73.9266 63.7863 55.2881 48.0431 331.358
