[state-1998-1]
report.type: partition
row,column,category,age[1]
1,1,all,7.73281e-006
1,2,all,1.03804e-005
1,3,all,1.39344e-005
1,4,all,1.87052e-005
1,5,all,2.51095e-005
1,6,all,3.37065e-005
1,7,all,4.52469e-005
1,8,all,6.07384e-005
1,9,all,8.15339e-005
1,10,all,0.000109449
1,11,all,0.000146922
1,12,all,0.000197224
1,13,all,0.000264749
1,14,all,0.000355391
1,15,all,0.000477066
1,16,all,0.000640396
1,17,all,0.000859641
1,18,all,0.00115394
1,19,all,0.00154898
1,20,all,0.00207925
1,21,all,0.002791
1,22,all,0.00374633
1,23,all,0.00502855
1,24,all,0.0067494
1,25,all,0.0090588
1,26,all,0.0121577
1,27,all,0.0163155
1,28,all,0.021893
1,29,all,0.0293733
1,30,all,0.0394023
1,31,all,0.0528429
1,32,all,0.0708454
1,33,all,0.0949399
1,34,all,0.127156
1,35,all,0.170172
1,36,all,0.227506
1,37,all,0.30374
1,38,all,0.404784
1,39,all,0.538145
1,40,all,0.713182
1,41,all,0.941248
1,42,all,1.2356
1,43,all,1.61086
1,44,all,2.08189
1,45,all,2.66167
1,46,all,3.35841
1,47,all,4.17194
1,48,all,5.09055
1,49,all,6.08938
1,50,all,7.13182
1,51,all,8.17426
1,52,all,9.17309
1,53,all,10.0917
1,54,all,10.9052
1,55,all,11.602
1,56,all,12.1818
1,57,all,12.6528
1,58,all,13.028
1,59,all,13.3224
1,60,all,13.5505
1,61,all,13.7255
1,62,all,13.8589
1,63,all,13.9599
1,64,all,14.0361
1,65,all,14.0935
1,66,all,14.1365
1,67,all,14.1687
1,68,all,14.1928
1,69,all,14.2108
1,70,all,14.2242
1,71,all,14.2343
1,72,all,14.2417
1,73,all,14.2473
1,74,all,14.2515
1,75,all,14.2546
1,76,all,14.2569
1,77,all,14.2586
1,78,all,14.2599
1,79,all,14.2608
1,80,all,14.2616
1,81,all,14.2621
1,82,all,14.2625
1,83,all,14.2628
1,84,all,14.263
1,85,all,14.2632
1,86,all,14.2633
1,87,all,14.2634
1,88,all,14.2634
1,89,all,14.2635
1,90,all,14.2635
1,91,all,14.2636
1,92,all,14.2636
1,93,all,14.2636
1,94,all,14.2636
1,95,all,14.2636
1,96,all,14.2636
1,97,all,14.2636
1,98,all,14.2636
1,99,all,14.2636
1,100,all,14.2636
*end

