[final]
Row,Column,Category,Age[1]
1,1,all,0.0138351
1,2,all,0.0186534
1,3,all,0.0249954
1,4,all,0.0332879
1,5,all,0.0440592
1,6,all,0.0579576
1,7,all,0.075772
1,8,all,0.0984535
1,9,all,0.127139
1,10,all,0.163173
1,11,all,0.208134
1,12,all,0.263853
1,13,all,0.332434
1,14,all,0.416268
1,15,all,0.518042
1,16,all,0.640739
1,17,all,0.787628
1,18,all,0.962244
1,19,all,1.16835
1,20,all,1.40989
1,21,all,1.69092
1,22,all,2.01551
1,23,all,2.38764
1,24,all,2.81111
1,25,all,3.28936
1,26,all,3.82534
1,27,all,4.42131
1,28,all,5.07876
1,29,all,5.79812
1,30,all,6.57873
1,31,all,7.41857
1,32,all,8.31425
1,33,all,9.26083
1,34,all,10.2518
1,35,all,11.2791
1,36,all,12.3332
1,37,all,13.4029
1,38,all,14.476
1,39,all,15.5389
1,40,all,16.5774
1,41,all,17.5766
1,42,all,18.5217
1,43,all,19.3976
1,44,all,20.1902
1,45,all,20.8862
1,46,all,21.4733
1,47,all,21.9414
1,48,all,22.282
1,49,all,22.4889
1,50,all,22.5583
1,51,all,22.4889
1,52,all,22.282
1,53,all,21.9414
1,54,all,21.4733
1,55,all,20.8862
1,56,all,20.1902
1,57,all,19.3976
1,58,all,18.5217
1,59,all,17.5766
1,60,all,16.5774
1,61,all,15.5389
1,62,all,14.476
1,63,all,13.4029
1,64,all,12.3332
1,65,all,11.2791
1,66,all,10.2518
1,67,all,9.26083
1,68,all,8.31425
1,69,all,7.41857
1,70,all,6.57873
1,71,all,5.79812
1,72,all,5.07876
1,73,all,4.42131
1,74,all,3.82534
1,75,all,3.28936
1,76,all,2.81111
1,77,all,2.38764
1,78,all,2.01551
1,79,all,1.69092
1,80,all,1.40989
1,81,all,1.16835
1,82,all,0.962244
1,83,all,0.787628
1,84,all,0.640739
1,85,all,0.518042
1,86,all,0.416268
1,87,all,0.332434
1,88,all,0.263853
1,89,all,0.208134
1,90,all,0.163173
1,91,all,0.127139
1,92,all,0.0984535
1,93,all,0.075772
1,94,all,0.0579576
1,95,all,0.0440592
1,96,all,0.0332879
1,97,all,0.0249954
1,98,all,0.0186534
1,99,all,0.0138351
1,100,all,0.0101983

