[state-1]
report.type: partition
year: 1994
time_step: step_one
row column category age[1]
1 1 all 130.571
1 2 all 106.902
1 3 all 87.5242
1 4 all 71.6587
1 5 all 58.6692
1 6 all 48.0343
1 7 all 39.3272
1 8 all 32.1983
1 9 all 26.3618
1 10 all 21.5832
1 11 all 17.6708
1 12 all 14.4677
1 13 all 11.8451
1 14 all 9.69796
1 15 all 7.94001
1 16 all 6.50073
1 17 all 5.32235
1 18 all 4.35757
1 19 all 3.56768
1 20 all 2.92097
1 21 all 2.39149
1 22 all 1.95798
1 23 all 1.60306
1 24 all 1.31248
1 25 all 1.07456
1 26 all 0.879779
1 27 all 0.720302
1 28 all 0.589733
1 29 all 0.482833
1 30 all 0.39531
1 31 all 0.323653
1 32 all 0.264984
1 33 all 0.216951
1 34 all 0.177624
1 35 all 0.145426
1 36 all 0.119065
1 37 all 0.0974823
1 38 all 0.0798117
1 39 all 0.0653443
1 40 all 0.0534994
1 41 all 0.0438016
1 42 all 0.0358617
1 43 all 0.0293611
1 44 all 0.0240388
1 45 all 0.0196813
1 46 all 0.0161137
1 47 all 0.0131928
1 48 all 0.0108013
1 49 all 0.00884339
1 50 all 0.00724036
1 51 all 0.0059279
1 52 all 0.00485336
1 53 all 0.00397359
1 54 all 0.0032533
1 55 all 0.00266358
1 56 all 0.00218075
1 57 all 0.00178545
1 58 all 0.0014618
1 59 all 0.00119682
1 60 all 0.000979876
1 61 all 0.000802254
1 62 all 0.00065683
1 63 all 0.000537767
1 64 all 0.000440287
1 65 all 0.000360476
1 66 all 0.000295133
1 67 all 0.000241634
1 68 all 0.000197833
1 69 all 0.000161972
1 70 all 0.000132612
1 71 all 0.000108573
1 72 all 8.88923e-05
1 73 all 7.27789e-05
1 74 all 5.95863e-05
1 75 all 4.87851e-05
1 76 all 3.99419e-05
1 77 all 3.27017e-05
1 78 all 2.67739e-05
1 79 all 2.19206e-05
1 80 all 1.7947e-05
1 81 all 1.46938e-05
1 82 all 1.20303e-05
1 83 all 9.84955e-06
1 84 all 8.06413e-06
1 85 all 6.60235e-06
1 86 all 5.40555e-06
1 87 all 4.42569e-06
1 88 all 3.62345e-06
1 89 all 2.96663e-06
1 90 all 2.42887e-06
1 91 all 1.98859e-06
1 92 all 1.62812e-06
1 93 all 1.33299e-06
1 94 all 1.09136e-06
1 95 all 8.93531e-07
1 96 all 7.31561e-07
1 97 all 5.98952e-07
1 98 all 4.9038e-07
1 99 all 4.01489e-07
1 100 all 3.28712e-07
*end

[state-1]
report.type: partition
year: 1998
time_step: step_one
row column category age[1]
1 1 all 130.571
1 2 all 106.902
1 3 all 87.5242
1 4 all 71.6587
1 5 all 58.6692
1 6 all 48.0343
1 7 all 39.3272
1 8 all 32.1983
1 9 all 26.3618
1 10 all 21.5832
1 11 all 17.6708
1 12 all 14.4677
1 13 all 11.8451
1 14 all 9.69796
1 15 all 7.94001
1 16 all 6.50073
1 17 all 5.32235
1 18 all 4.35757
1 19 all 3.56768
1 20 all 2.92097
1 21 all 2.39149
1 22 all 1.95798
1 23 all 1.60306
1 24 all 1.31248
1 25 all 1.07456
1 26 all 0.879779
1 27 all 0.720302
1 28 all 0.589733
1 29 all 0.482833
1 30 all 0.39531
1 31 all 0.323653
1 32 all 0.264984
1 33 all 0.216951
1 34 all 0.177624
1 35 all 0.145426
1 36 all 0.119065
1 37 all 0.0974823
1 38 all 0.0798117
1 39 all 0.0653443
1 40 all 0.0534994
1 41 all 0.0438016
1 42 all 0.0358617
1 43 all 0.0293611
1 44 all 0.0240388
1 45 all 0.0196813
1 46 all 0.0161137
1 47 all 0.0131928
1 48 all 0.0108013
1 49 all 0.00884339
1 50 all 0.00724036
1 51 all 0.0059279
1 52 all 0.00485336
1 53 all 0.00397359
1 54 all 0.0032533
1 55 all 0.00266358
1 56 all 0.00218075
1 57 all 0.00178545
1 58 all 0.0014618
1 59 all 0.00119682
1 60 all 0.000979876
1 61 all 0.000802254
1 62 all 0.00065683
1 63 all 0.000537767
1 64 all 0.000440287
1 65 all 0.000360476
1 66 all 0.000295133
1 67 all 0.000241634
1 68 all 0.000197833
1 69 all 0.000161972
1 70 all 0.000132612
1 71 all 0.000108573
1 72 all 8.88923e-05
1 73 all 7.27789e-05
1 74 all 5.95863e-05
1 75 all 4.87851e-05
1 76 all 3.99419e-05
1 77 all 3.27017e-05
1 78 all 2.67739e-05
1 79 all 2.19206e-05
1 80 all 1.7947e-05
1 81 all 1.46938e-05
1 82 all 1.20303e-05
1 83 all 9.84955e-06
1 84 all 8.06413e-06
1 85 all 6.60235e-06
1 86 all 5.40555e-06
1 87 all 4.42569e-06
1 88 all 3.62345e-06
1 89 all 2.96663e-06
1 90 all 2.42887e-06
1 91 all 1.98859e-06
1 92 all 1.62812e-06
1 93 all 1.33299e-06
1 94 all 1.09136e-06
1 95 all 8.93531e-07
1 96 all 7.31561e-07
1 97 all 5.98952e-07
1 98 all 4.9038e-07
1 99 all 4.01489e-07
1 100 all 3.28712e-07
*end

[state-1]
report.type: partition
year: 2004
time_step: step_one
row column category age[1]
1 1 all 130.571
1 2 all 106.902
1 3 all 87.5242
1 4 all 71.6587
1 5 all 58.6692
1 6 all 48.0343
1 7 all 39.3272
1 8 all 32.1983
1 9 all 26.3618
1 10 all 21.5832
1 11 all 17.6708
1 12 all 14.4677
1 13 all 11.8451
1 14 all 9.69796
1 15 all 7.94001
1 16 all 6.50073
1 17 all 5.32235
1 18 all 4.35757
1 19 all 3.56768
1 20 all 2.92097
1 21 all 2.39149
1 22 all 1.95798
1 23 all 1.60306
1 24 all 1.31248
1 25 all 1.07456
1 26 all 0.879779
1 27 all 0.720302
1 28 all 0.589733
1 29 all 0.482833
1 30 all 0.39531
1 31 all 0.323653
1 32 all 0.264984
1 33 all 0.216951
1 34 all 0.177624
1 35 all 0.145426
1 36 all 0.119065
1 37 all 0.0974823
1 38 all 0.0798117
1 39 all 0.0653443
1 40 all 0.0534994
1 41 all 0.0438016
1 42 all 0.0358617
1 43 all 0.0293611
1 44 all 0.0240388
1 45 all 0.0196813
1 46 all 0.0161137
1 47 all 0.0131928
1 48 all 0.0108013
1 49 all 0.00884339
1 50 all 0.00724036
1 51 all 0.0059279
1 52 all 0.00485336
1 53 all 0.00397359
1 54 all 0.0032533
1 55 all 0.00266358
1 56 all 0.00218075
1 57 all 0.00178545
1 58 all 0.0014618
1 59 all 0.00119682
1 60 all 0.000979876
1 61 all 0.000802254
1 62 all 0.00065683
1 63 all 0.000537767
1 64 all 0.000440287
1 65 all 0.000360476
1 66 all 0.000295133
1 67 all 0.000241634
1 68 all 0.000197833
1 69 all 0.000161972
1 70 all 0.000132612
1 71 all 0.000108573
1 72 all 8.88923e-05
1 73 all 7.27789e-05
1 74 all 5.95863e-05
1 75 all 4.87851e-05
1 76 all 3.99419e-05
1 77 all 3.27017e-05
1 78 all 2.67739e-05
1 79 all 2.19206e-05
1 80 all 1.7947e-05
1 81 all 1.46938e-05
1 82 all 1.20303e-05
1 83 all 9.84955e-06
1 84 all 8.06413e-06
1 85 all 6.60235e-06
1 86 all 5.40555e-06
1 87 all 4.42569e-06
1 88 all 3.62345e-06
1 89 all 2.96663e-06
1 90 all 2.42887e-06
1 91 all 1.98859e-06
1 92 all 1.62812e-06
1 93 all 1.33299e-06
1 94 all 1.09136e-06
1 95 all 8.93531e-07
1 96 all 7.31561e-07
1 97 all 5.98952e-07
1 98 all 4.9038e-07
1 99 all 4.01489e-07
1 100 all 3.28712e-07
*end

[state-1]
report.type: partition
year: 2008
time_step: step_one
row column category age[1]
1 1 all 130.571
1 2 all 106.902
1 3 all 87.5242
1 4 all 71.6587
1 5 all 58.6692
1 6 all 48.0343
1 7 all 39.3272
1 8 all 32.1983
1 9 all 26.3618
1 10 all 21.5832
1 11 all 17.6708
1 12 all 14.4677
1 13 all 11.8451
1 14 all 9.69796
1 15 all 7.94001
1 16 all 6.50073
1 17 all 5.32235
1 18 all 4.35757
1 19 all 3.56768
1 20 all 2.92097
1 21 all 2.39149
1 22 all 1.95798
1 23 all 1.60306
1 24 all 1.31248
1 25 all 1.07456
1 26 all 0.879779
1 27 all 0.720302
1 28 all 0.589733
1 29 all 0.482833
1 30 all 0.39531
1 31 all 0.323653
1 32 all 0.264984
1 33 all 0.216951
1 34 all 0.177624
1 35 all 0.145426
1 36 all 0.119065
1 37 all 0.0974823
1 38 all 0.0798117
1 39 all 0.0653443
1 40 all 0.0534994
1 41 all 0.0438016
1 42 all 0.0358617
1 43 all 0.0293611
1 44 all 0.0240388
1 45 all 0.0196813
1 46 all 0.0161137
1 47 all 0.0131928
1 48 all 0.0108013
1 49 all 0.00884339
1 50 all 0.00724036
1 51 all 0.0059279
1 52 all 0.00485336
1 53 all 0.00397359
1 54 all 0.0032533
1 55 all 0.00266358
1 56 all 0.00218075
1 57 all 0.00178545
1 58 all 0.0014618
1 59 all 0.00119682
1 60 all 0.000979876
1 61 all 0.000802254
1 62 all 0.00065683
1 63 all 0.000537767
1 64 all 0.000440287
1 65 all 0.000360476
1 66 all 0.000295133
1 67 all 0.000241634
1 68 all 0.000197833
1 69 all 0.000161972
1 70 all 0.000132612
1 71 all 0.000108573
1 72 all 8.88923e-05
1 73 all 7.27789e-05
1 74 all 5.95863e-05
1 75 all 4.87851e-05
1 76 all 3.99419e-05
1 77 all 3.27017e-05
1 78 all 2.67739e-05
1 79 all 2.19206e-05
1 80 all 1.7947e-05
1 81 all 1.46938e-05
1 82 all 1.20303e-05
1 83 all 9.84955e-06
1 84 all 8.06413e-06
1 85 all 6.60235e-06
1 86 all 5.40555e-06
1 87 all 4.42569e-06
1 88 all 3.62345e-06
1 89 all 2.96663e-06
1 90 all 2.42887e-06
1 91 all 1.98859e-06
1 92 all 1.62812e-06
1 93 all 1.33299e-06
1 94 all 1.09136e-06
1 95 all 8.93531e-07
1 96 all 7.31561e-07
1 97 all 5.98952e-07
1 98 all 4.9038e-07
1 99 all 4.01489e-07
1 100 all 3.28712e-07
*end

[Objective_Score]
report.type: objective_function
total_score: 0
*end

