[state-1994-1]
row,column,category,age[1]
1,1,all,10.6775
1,2,all,11.7865
1,3,all,12.9309
1,4,all,14.0992
1,5,all,15.2787
1,6,all,16.4552
1,7,all,17.6133
1,8,all,18.7372
1,9,all,19.8104
1,10,all,20.8163
1,11,all,21.739
1,12,all,22.5632
1,13,all,23.2748
1,14,all,23.8613
1,15,all,24.3123
1,16,all,24.6197
1,17,all,24.7779
1,18,all,24.7839
1,19,all,24.6377
1,20,all,24.3418
1,21,all,23.9018
1,22,all,23.3256
1,23,all,22.6235
1,24,all,21.8077
1,25,all,20.8922
1,26,all,19.8922
1,27,all,18.8237
1,28,all,17.7033
1,29,all,16.5472
1,30,all,15.3716
1,31,all,14.1919
1,32,all,13.0222
1,33,all,11.8755
1,34,all,10.7633
1,35,all,9.69527
1,36,all,8.67961
1,37,all,7.72263
1,38,all,6.82895
1,39,all,6.0016
1,40,all,5.24209
1,41,all,4.55057
1,42,all,3.92601
1,43,all,3.36636
1,44,all,2.86876
1,45,all,2.4297
1,46,all,2.0452
1,47,all,1.71097
1,48,all,1.42257
1,49,all,1.17551
1,50,all,0.965398
1,51,all,0.78797
1,52,all,0.6392
1,53,all,0.515334
1,54,all,0.412918
1,55,all,0.328824
1,56,all,0.260249
1,57,all,0.204709
1,58,all,0.160033
1,59,all,0.124339
1,60,all,0.0960122
1,61,all,0.0736837
1,62,all,0.0562006
1,63,all,0.0426024
1,64,all,0.0320961
1,65,all,0.0240322
1,66,all,0.0178838
1,67,all,0.0132267
1,68,all,0.00972221
1,69,all,0.00710238
1,70,all,0.00515665
1,71,all,0.00372096
1,72,all,0.00266851
1,73,all,0.00190198
1,74,all,0.00134731
1,75,all,0.000948545
1,76,all,0.000663702
1,77,all,0.000461548
1,78,all,0.000318999
1,79,all,0.000219126
1,80,all,0.000149601
1,81,all,0.000101512
1,82,all,6.84626e-005
1,83,all,4.58939e-005
1,84,all,3.05805e-005
1,85,all,2.02562e-005
1,86,all,1.33399e-005
1,87,all,8.73599e-006
1,88,all,5.69084e-006
1,89,all,3.68946e-006
1,90,all,2.38242e-006
1,91,all,3.98455e-008
1,92,all,3.98455e-008
1,93,all,3.98455e-008
1,94,all,3.98455e-008
1,95,all,3.98455e-008
1,96,all,3.98455e-008
1,97,all,3.98455e-008
1,98,all,3.98455e-008
1,99,all,3.98455e-008
1,100,all,3.98455e-008

