q[cpueq].q,population_process[recruitment].r0,selectivity[fishingsel].a50,selectivity[fishingsel].ato95
0.000153139,997386,8,3
0.000153139,997386,8,3
0.000153139,997386,8,3
0.000153139,997386,8,3
0.000153139,997386,8,3
7.51926e-006,2.03059e+006,5,1.38628
7.58794e-006,2.03577e+006,5.09,1.4155
7.65691e-006,2.04091e+006,5.18,1.44845
7.72607e-006,2.04607e+006,5.27,1.48486
7.7959e-006,2.05115e+006,5.36,1.52359
7.86699e-006,2.05602e+006,5.45,1.56319
7.93976e-006,2.06062e+006,5.54,1.60277
