SPM (Spatial Population Model)
Call: spm -m -q -g 0 
Date: Thu Nov 19 22:42:33 2015
v1.1-2015-11-19 (rev. 1272). Copyright (c) 2008-2015, NIWA
User name: dunn
Machine name: NIWA-34286 (Windows_NT, PID=6480)

[MCMC]
report.type: MCMC
Original covariance matrix:
1.4961e-009 -2.82829 6.40938e-006 3.33788e-006
-2.82829 5.83449e+009 -6405.04 -3098.07
6.40938e-006 -6405.04 0.211802 0.158556
3.33788e-006 -3098.07 0.158556 0.24515
Proposal distribution covariance matrix:
1e-006 -61.1071 0.000165705 8.6296e-005
-73.1213 5.83449e+009 -6405.04 -3098.07
0.000165705 -6405.04 0.211802 0.158556
8.6296e-005 -3098.07 0.158556 0.24515
Cholesky decomposition matrix:
0.001 0 0 0
-73121.3 22085.5 0 0
0.165705 0.258609 0.342732 0
0.086296 0.145435 0.311163 0.346019
MCMC objective function values:
iteration score penalty prior likelihood acceptance_rate acceptance_rate_since_adapt stepsize
0 279.247 0 0 279.247 0 0 1.2
500 282.374 0 0 523.254 0.012 0.012 1.2
1000 280.438 0 0 634.86 0.011 0.011 1.2
1500 281.066 0 0 286.627 0.0646667 0.172 0.055
2000 280.179 0 0 284.741 0.0895 0.168 0.055
2500 279.999 0 0 314.175 0.1104 0.176667 0.055
3000 280.604 0 0 295.179 0.122 0.1775 0.055
3500 279.354 0 0 448.064 0.125714 0.1716 0.055
4000 279.809 0 0 279.809 0.12975 0.169333 0.055
4500 280.233 0 0 316.346 0.136889 0.172857 0.055
5000 279.636 0 0 298.516 0.1414 0.174 0.055
5500 281.274 0 0 282.435 0.144 0.173556 0.055
6000 279.555 0 0 287.082 0.145833 0.1728 0.055
6500 281.763 0 0 325.234 0.147077 0.171818 0.055
7000 281.46 0 0 349.821 0.149571 0.172667 0.055
7500 282.851 0 0 292.305 0.1508 0.172308 0.055
8000 279.781 0 0 296.092 0.153375 0.173714 0.055
8500 279.386 0 0 293.882 0.155882 0.1752 0.055
9000 281.886 0 0 282.742 0.157111 0.175375 0.055
9500 280.238 0 0 281.397 0.160211 0.177765 0.055
10000 280.347 0 0 423.264 0.1616 0.178333 0.055
10500 281.102 0 0 440.648 0.166 0.254 0.0408681
11000 280.377 0 0 350.777 0.168545 0.238 0.0408681
11500 280.154 0 0 280.154 0.172609 0.246 0.0408681
12000 279.498 0 0 279.498 0.176 0.248 0.0408681
12500 280.956 0 0 280.956 0.17984 0.2528 0.0408681
13000 280.59 0 0 330.501 0.183615 0.257 0.0408681
13500 281.717 0 0 311.771 0.18837 0.264857 0.0408681
14000 282.6 0 0 305.37 0.194786 0.27775 0.0408681
14500 281.324 0 0 289.111 0.198345 0.28 0.0408681
15000 281.823 0 0 284.491 0.201467 0.2812 0.0408681
15500 280.452 0 0 284.111 0.204 0.281091 0.0408681
16000 280.004 0 0 280.004 0.205813 0.2795 0.0408681
16500 283.849 0 0 429.008 0.206303 0.275077 0.0408681
17000 279.335 0 0 286.167 0.208 0.274286 0.0408681
17500 280.098 0 0 288.77 0.210457 0.2756 0.0408681
18000 283.013 0 0 1328.38 0.210944 0.272625 0.0408681
18500 280.706 0 0 292.997 0.211351 0.269882 0.0408681
19000 282.559 0 0 331.686 0.211158 0.266222 0.0408681
19500 281.949 0 0 473.499 0.210923 0.262842 0.0408681
20000 281.276 0 0 284.968 0.2109 0.2602 0.0408681
20500 285.509 0 0 324.285 0.210488 0.194 0.0443078
21000 285.364 0 0 287.454 0.209667 0.185 0.0443078
21500 285.671 0 0 296.129 0.209488 0.190667 0.0443078
22000 282.651 0 0 302.573 0.209227 0.1925 0.0443078
22500 281.116 0 0 311.714 0.209689 0.2 0.0443078
23000 281.28 0 0 356.374 0.21087 0.210667 0.0443078
23500 280.506 0 0 317.476 0.21166 0.216 0.0443078
24000 280.006 0 0 341.892 0.212542 0.22075 0.0443078
24500 282.341 0 0 329.882 0.212163 0.217778 0.0443078
25000 283.806 0 0 300.01 0.21276 0.2202 0.0443078
25500 280.176 0 0 302.635 0.212549 0.218545 0.0443078
26000 280.308 0 0 280.308 0.213 0.22 0.0443078
26500 281.372 0 0 307.464 0.213019 0.219538 0.0443078
27000 283.527 0 0 283.527 0.213222 0.219857 0.0443078
27500 280.17 0 0 298.004 0.214 0.222267 0.0443078
28000 280.794 0 0 280.794 0.215464 0.226875 0.0443078
