catchability[cpueq].q,process[recruitment].r0,selectivity[fishingsel].a50,selectivity[fishingsel].ato95
0.000619577,100000,15.8158,31.7533
0.000342609,147368,6.73362,2.60218
0.000287582,194737,8.22689,3.14321
0.000224459,242105,8.65668,3.32281
0.000177615,289474,8.6939,3.33416
0.000145694,336842,8.64898,3.30955
0.00012324,384211,8.5948,3.28165
0.000106721,431579,8.54586,3.25678
9.40962e-005,478947,8.50434,3.23595
8.41407e-005,526316,8.46937,3.21843
7.60911e-005,573684,8.43983,3.20369
6.94502e-005,621053,8.41475,3.19122
6.38751e-005,668421,8.39304,3.18037
5.9132e-005,715789,8.37444,3.17121
5.50434e-005,763158,8.35801,3.16297
5.14868e-005,810526,8.34372,3.15592
4.83622e-005,857895,8.33096,3.14965
4.55954e-005,905263,8.31959,3.14404
4.31283e-005,952632,8.30939,3.13901
4.09149e-005,1e+006,8.30016,3.13442
