[MCMC_objectives]
report.type: MCMC_objectives
Original covariance matrix:
1.4961e-009 -2.82829 6.40938e-006 3.33788e-006
-2.82829 5.83449e+009 -6405.04 -3098.07
6.40938e-006 -6405.04 0.211802 0.158556
3.33788e-006 -3098.07 0.158556 0.24515
Proposal distribution covariance matrix:
1e-006 -61.1071 0.000165705 8.6296e-005
-73.1213 5.83449e+009 -6405.04 -3098.07
0.000165705 -6405.04 0.211802 0.158556
8.6296e-005 -3098.07 0.158556 0.24515
Cholesky decomposition matrix:
0.001 0 0 0
-73121.3 22085.5 0 0
0.165705 0.258609 0.342732 0
0.086296 0.145435 0.311163 0.346019
MCMC objective function values:
iteration score penalty prior likelihood acceptance_rate acceptance_rate_since_adapt stepsize
500 279.882 0 0 279.882 0.00741004 0.00741004 1.2
1000 279.433 0 0 279.433 0.00703992 0.00703992 1.2
1500 281.768 0 0 281.768 0.0104337 0.291036 0.0351996
2000 280.578 0 0 280.578 0.0137593 0.302206 0.0351996
2500 279.8 0 0 279.8 0.0169894 0.293887 0.0351996
3000 282.006 0 0 282.006 0.0201677 0.29824 0.0351996
3500 279.727 0 0 279.727 0.023255 0.295578 0.0351996
4000 282.885 0 0 282.885 0.0262412 0.288878 0.0351996
4500 282.834 0 0 282.834 0.02916 0.285156 0.0351996
5000 282.481 0 0 282.481 0.0320523 0.286779 0.0351996
5500 282.848 0 0 282.848 0.0348954 0.289073 0.0351996
6000 280.536 0 0 280.536 0.0376553 0.289134 0.0351996
6500 281.085 0 0 281.085 0.0403283 0.287507 0.0351996
7000 280.091 0 0 280.091 0.0429003 0.284064 0.0351996
7500 281.461 0 0 281.461 0.045449 0.282941 0.0351996
8000 280.054 0 0 280.054 0.0479875 0.283826 0.0351996
8500 282.045 0 0 282.045 0.050461 0.284091 0.0351996
9000 280.329 0 0 280.329 0.0529122 0.285246 0.0351996
9500 283.418 0 0 283.418 0.0553933 0.288586 0.0351996
10000 280.741 0 0 280.741 0.0577751 0.289967 0.0351996
10500 280.205 0 0 280.205 0.0599192 0.23245 0.0425281
11000 281.697 0 0 281.697 0.0621357 0.253357 0.0425281
11500 280.095 0 0 280.095 0.0642947 0.25956 0.0425281
12000 280.189 0 0 280.189 0.0664555 0.26713 0.0425281
12500 279.643 0 0 279.643 0.0684808 0.264606 0.0425281
13000 279.943 0 0 279.943 0.070481 0.264038 0.0425281
13500 280.743 0 0 280.743 0.0725701 0.270437 0.0425281
14000 281.041 0 0 281.041 0.0744705 0.268294 0.0425281
14500 280.329 0 0 280.329 0.0761579 0.25998 0.0425281
15000 279.554 0 0 279.554 0.0777811 0.252985 0.0425281
15500 283.255 0 0 283.255 0.0795635 0.25313 0.0425281
16000 281.229 0 0 281.229 0.081379 0.255037 0.0425281
16500 280.678 0 0 280.678 0.0832673 0.259253 0.0425281
17000 283.311 0 0 283.311 0.08519 0.26446 0.0425281
17500 280.742 0 0 280.742 0.0870214 0.267714 0.0425281
18000 281.104 0 0 281.104 0.088746 0.268989 0.0425281
18500 279.981 0 0 279.981 0.0902928 0.267262 0.0425281
19000 282.701 0 0 282.701 0.0918624 0.266698 0.0425281
19500 282.144 0 0 282.144 0.0933989 0.266129 0.0425281
20000 280.303 0 0 280.303 0.095011 0.267258 0.0425281
20500 279.934 0 0 279.934 0.0965369 0.269978 0.0473582
21000 280.941 0 0 280.941 0.0979976 0.263922 0.0473582
21500 280.11 0 0 280.11 0.0993723 0.256148 0.0473582
22000 280.092 0 0 280.092 0.100744 0.254033 0.0473582
22500 281.358 0 0 281.358 0.102265 0.262743 0.0473582
23000 280.422 0 0 280.422 0.103668 0.264061 0.0473582
