catchability[CPUEq].q process[BHrecruitment].r0 selectivity[FishingSel].a50 selectivity[FishingSel].ato95
0.000579559 100000 15.3951 34.623
0.000324864 147368 6.84973 2.84829
0.000271283 194737 8.27037 3.1917
0.000210303 242105 8.65426 3.32608
0.000166067 289474 8.67641 3.32405
0.000136176 336842 8.62884 3.29668
0.000115194 384211 8.57471 3.2684
9.97685e-05 431579 8.52656 3.24363
8.79761e-05 478947 8.48585 3.2229
7.86779e-05 526316 8.45178 3.20602
7.11601e-05 573684 8.42306 3.19148
6.49544e-05 621053 8.39863 3.17932
5.97451e-05 668421 8.37744 3.16873
5.53122e-05 715789 8.35949 3.1599
5.14941e-05 763158 8.34369 3.15189
4.81643e-05 810526 8.32927 3.14593
4.52541e-05 857895 8.31879 3.14027
4.26602e-05 905263 8.30639 3.1338
4.03532e-05 952632 8.29646 3.12896
3.8283e-05 1e+06 8.28758 3.12463
