[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q process[BHrecruitment].r0 selectivity[FishingSel].a50 selectivity[FishingSel].ato95
0.000146715 310579 8.56239 3.69063
0.000187499 242012 8.20505 3.60964
0.000166217 297894 8.74832 3.55993
0.000189046 285020 9.16938 4.03155
0.000150812 330252 8.86378 3.65074
0.000126731 328672 8.91152 3.26829
0.00014351 324142 8.50255 3.20228
0.000140803 297356 8.62292 3.43518
0.000170243 289302 8.99504 3.69079
0.000174964 299246 9.35147 4.04308
0.00019003 318155 9.89765 4.12079
0.000192947 241524 8.02723 3.00522
0.000171634 264308 8.1761 2.86157
0.000140428 341307 9.14327 4.00175
0.000157382 352321 9.69062 4.59032
0.000148248 347701 9.41499 4.12623
0.000126783 369111 8.47772 3.03479
0.000130823 371499 8.74275 3.64199
0.000125476 378520 9.36743 4.46751
0.000137488 340691 8.57211 2.98125
0.000110899 393172 8.66877 2.64533
0.000144727 300123 8.56517 3.6875
0.000174821 273713 8.60085 4.18413
0.000122335 341597 8.96201 2.89286
0.000136796 340269 9.26033 4.01591
0.00014701 301180 8.10805 3.30083
0.000153406 304277 8.32556 3.00466
0.000142493 341321 8.91511 3.09026
0.000145805 318523 8.41051 3.41469
9.75015e-005 395361 8.72946 3.27088
9.83143e-005 407971 8.56339 2.9499
0.000121374 394174 8.49168 2.96249
0.000145025 359369 9.49361 4.09987
0.00018647 290763 8.9899 3.29253
0.000111026 405121 8.75804 2.97774
0.000123315 344534 8.43269 2.98292
0.000128376 347620 8.36845 3.16142
0.000137754 331324 9.15164 3.85638
0.000152433 294940 9.016 3.39048
0.000117295 396789 9.34375 4.52765
9.88482e-005 420591 8.78127 3.30518
9.00909e-005 438905 8.23381 2.72718
0.000108016 393971 7.98843 3.07912
0.000119994 365129 7.99065 2.95457
0.000127261 329181 9.31567 4.79556
0.000157107 349914 9.42584 3.85758
0.000155927 306349 9.02543 4.18305
0.000137433 304035 8.72857 3.39459
0.000188131 276663 8.55784 3.72608
0.000153647 339074 8.99395 3.55045
0.000172011 314566 8.44175 2.96514
0.000216089 241187 8.49516 2.8449
0.00019748 302779 9.76605 4.25518
0.000147323 308614 8.30306 3.16204
0.000110694 381244 8.28266 2.47139
0.000119015 398358 8.86616 3.8368
0.000136139 358620 9.01624 3.15606
0.000133674 307231 7.88034 2.71297
0.000159425 323967 9.06385 3.36091
0.000120281 422025 9.08705 3.6246
0.00012241 365764 8.9669 3.59391
0.000102806 434076 8.59691 3.26645
0.000148578 302690 7.96811 2.87652
0.000131073 331810 8.05435 3.40926
0.000131668 393772 9.75012 4.98539
0.000144646 350003 9.22723 3.7187
0.000129209 326985 8.55875 3.49373
0.000220647 283053 10.1899 4.36954
0.000129931 341216 8.40435 3.10168
0.000128931 351381 8.52375 2.94603
8.93947e-005 444455 8.14992 3.03607
9.85969e-005 407501 8.18254 2.99358
0.000106192 383755 8.03598 2.96446
0.000146068 327079 9.19007 4.09673
0.000162978 333291 9.64646 3.95913
0.000114744 364523 8.65739 3.45358
0.000121629 373519 8.11258 3.43246
0.000133501 418541 8.99678 3.56902
9.92254e-005 393915 8.05838 2.80314
0.000132358 407447 9.01397 3.50624
0.000136776 340794 8.33834 2.92152
0.000113668 369105 8.62131 3.21205
0.000122066 358439 8.68834 3.44039
0.000128384 371130 8.6497 2.76539
