SPM (Spatial Population Model)
Call: spm -e -q -g 0 -o MPD.dat 
Date: Sun Aug 19 11:20:55 2018
v1.1-2018-05-31 (rev. 1291). Copyright (c) 2008-2018, NIWA
User name: Admin
Machine name: DELL9070 (Windows_NT, PID=9932)

[initialisation-phase1]
report.type: initialisation
initialisation.initialisation_phase: Phase1
years: 100
lambda: 1e-10
lambda_hat: 0.0520093 0.0111386 0.00286821 0.000770104 0.000209034 5.69062e-05 1.55041e-05 4.22502e-06 1.15143e-06 3.13799e-07
lambda_years: 10 20 30 40 50 60 70 80 90 100
row column category age[1] age[2] age[3] age[4] age[5] age[6] age[7] age[8] age[9] age[10] age[11] age[12] age[13] age[14] age[15] age[16] age[17] age[18] age[19] age[20] age[21] age[22] age[23] age[24] age[25] age[26] age[27] age[28] age[29] age[30]
1 4 immature 0 214020 187930 165020 144903 119436 102937 88254.4 75175.7 63525.2 53163.5 43984.3 35909 28879.2 22846.3 17760.9 13562.7 10175.3 7506.13 5451.48 3904.4 2762.61 1934.65 1343.25 926.107 634.9 433.299 294.66 199.82 135.21
1 4 mature 0 0 0 0 0 7802.63 8791.18 9853.38 10972.3 12121 13261.1 14342.8 15307.8 16094.1 16644.5 16915.7 16886.7 16562.2 15971.9 15164.5 14198.4 13133.4 12023.5 10913.4 9836.39 8815.6 7865.14 6992.16 6198.7 45950.3
1 5 immature 0 214020 187930 165020 144903 119436 102937 88254.4 75175.7 63525.2 53163.5 43984.3 35909 28879.2 22846.3 17760.9 13562.7 10175.3 7506.13 5451.48 3904.4 2762.61 1934.65 1343.25 926.107 634.9 433.299 294.66 199.82 135.21
1 5 mature 0 0 0 0 0 7802.63 8791.18 9853.38 10972.3 12121 13261.1 14342.8 15307.8 16094.1 16644.5 16915.7 16886.7 16562.2 15971.9 15164.5 14198.4 13133.4 12023.5 10913.4 9836.39 8815.6 7865.14 6992.16 6198.7 45950.3
1 6 immature 0 214020 187930 165020 144903 119436 102937 88254.4 75175.7 63525.2 53163.5 43984.3 35909 28879.2 22846.3 17760.9 13562.7 10175.3 7506.13 5451.48 3904.4 2762.61 1934.65 1343.25 926.107 634.9 433.299 294.66 199.82 135.21
1 6 mature 0 0 0 0 0 7802.63 8791.18 9853.38 10972.3 12121 13261.1 14342.8 15307.8 16094.1 16644.5 16915.7 16886.7 16562.2 15971.9 15164.5 14198.4 13133.4 12023.5 10913.4 9836.39 8815.6 7865.14 6992.16 6198.7 45950.3
1 7 immature 0 214020 187930 165020 144903 119436 102937 88254.4 75175.7 63525.2 53163.5 43984.3 35909 28879.2 22846.3 17760.9 13562.7 10175.3 7506.13 5451.48 3904.4 2762.61 1934.65 1343.25 926.107 634.9 433.299 294.66 199.82 135.21
1 7 mature 0 0 0 0 0 7802.63 8791.18 9853.38 10972.3 12121 13261.1 14342.8 15307.8 16094.1 16644.5 16915.7 16886.7 16562.2 15971.9 15164.5 14198.4 13133.4 12023.5 10913.4 9836.39 8815.6 7865.14 6992.16 6198.7 45950.3
2 4 immature 0 214020 187930 165020 144903 119436 102937 88254.4 75175.7 63525.2 53163.5 43984.3 35909 28879.2 22846.3 17760.9 13562.7 10175.3 7506.13 5451.48 3904.4 2762.61 1934.65 1343.25 926.107 634.9 433.299 294.66 199.82 135.21
2 4 mature 0 0 0 0 0 7802.63 8791.18 9853.38 10972.3 12121 13261.1 14342.8 15307.8 16094.1 16644.5 16915.7 16886.7 16562.2 15971.9 15164.5 14198.4 13133.4 12023.5 10913.4 9836.39 8815.6 7865.14 6992.16 6198.7 45950.3
