catchability[CPUEq].q preference_function[ImmatureDistance].lambda preference_function[ImmatureDepth].a50 preference_function[ImmatureDepth].ato95 preference_function[ImmatureLatitude].a50 preference_function[ImmatureLatitude].ato95 preference_function[MatureDistance].lambda preference_function[MatureDepth].mu preference_function[MatureDepth].sigma_l preference_function[MatureDepth].sigma_r preference_function[MatureLatitude].a50 preference_function[MatureLatitude].ato95 selectivity[FishingSel].a50 selectivity[FishingSel].ato95 selectivity[Maturation].a50 selectivity[Maturation].ato95 process[BHrecruitment].r0
0.0163319 0.000220803 3716.04 1168.31 69.9792 3.8272 0.00415238 4998.76 2854.37 9698.2 71.7932 25.4284 11.943 5.8307 14.9049 11.6737 100000
9.72298e-05 0.00010277 3986.62 4972.7 70.9933 5.17024 0.00608739 4999.95 2457.48 10000 60.0711 29.9991 12.2481 6.17131 15.3049 10.8839 1.12e+07
4.60577e-05 0.000103086 4430.65 3663.55 70.8692 4.93667 0.00249805 147.006 2179.27 10000 60.0012 30 11.9141 5.98573 14.6955 11.6025 2.23e+07
3.39546e-05 0.000180747 4999.79 4972.5 71.3665 5.34095 0.0394946 599.707 356.279 9999.31 61.0391 3.5226 13.0657 6.85614 15.8001 11.7299 3.34e+07
9.51946e-06 0.000100004 3119.98 5000 71.6139 4.21772 0.00574013 4999.97 2986.34 9998.65 68.3689 21.5573 4.05577 0.0435218 15.5032 10.9619 4.45e+07
2.2149e-05 0.00803205 10 4561.31 60 20.2506 0.0001 4999.31 2304.07 10000 80 29.9999 12.4095 6.16525 14.9251 10.8302 5.56e+07
1.65601e-05 0.0001 4999.02 4993.28 71.2684 5.18301 0.00281571 1226.77 5000 9970.54 60.0017 18.0767 12.1988 6.11278 14.8985 11.1272 6.67e+07
4.92741e-05 0.00481225 2000.54 625.816 68.5868 0.347267 0.00459501 970.73 145.212 2657.51 71.3343 0.606922 3.87778 33.2376 12.5982 4.15506 7.78e+07
1.25652e-05 0.000175707 4997.61 2556.32 71.9881 5.5443 0.0354563 4999.98 2982.11 9982.58 61.5844 4.32345 13.0511 6.85437 16.0279 11.7847 8.89e+07
1.11863e-05 0.000110662 4997.15 4769.72 71.737 5.45562 0.0348864 4999.99 2877.53 9976.35 61.6075 4.44839 13.022 6.84251 16.0694 11.7627 1e+08
