SPM (Spatial Population Model)
Call: spm -p -q -g 0 -o profile.dat 
Date: Sun Aug 19 08:57:15 2018
v1.1-2018-05-31 (rev. 1291). Copyright (c) 2008-2018, NIWA
User name: Admin
Machine name: DELL9070 (Windows_NT, PID=7804)

[mature-2002]
report.type: observation
observation.label: mature-2002
observation.year: 2002
observation.time_step: one
observation.min_age: 1
observation.max_age: 30
observation.age_plus_group: true
area age observed expected residual errorvalue processerror totalerror score
r1-c6 1 0 0 0 0 0 0 -0
r1-c6 2 0 0 0 0 0 0 -0
r1-c6 3 0 0 0 0 0 0 -0
r1-c6 4 0 0 0 0 0 0 -0
r1-c6 5 0 0.0759774 -0.0759774 0 0 0 -0
r1-c6 6 0 0.0282189 -0.0282189 0 0 0 -0
r1-c6 7 0 0.031311 -0.031311 0 0 0 -0
r1-c6 8 0 0.0385341 -0.0385341 0 0 0 -0
r1-c6 9 0 0.0476224 -0.0476224 0 0 0 -0
r1-c6 10 0 0.0584555 -0.0584555 0 0 0 -0
r1-c6 11 0 0.0710819 -0.0710819 0 0 0 -0
r1-c6 12 1 0.0855149 0.914485 0.787322 0 0.787322 1.93607
r1-c6 13 1 0.101693 0.898307 0.345614 0 0.345614 0.790002
r1-c6 14 1 0.119477 0.880523 1.13657 0 1.13657 2.41478
r1-c6 15 1 0.138662 0.861338 0.339598 0 0.339598 0.67095
r1-c6 16 1 0.15902 0.84098 1.9726 0 1.9726 3.62708
r1-c6 17 1 0.180357 0.819643 1.63108 0 1.63108 2.79375
r1-c6 18 1 0.202579 0.797421 2.61832 0 2.61832 4.18048
r1-c6 19 1 0.22575 0.77425 1.89204 0 1.89204 2.81598
r1-c6 20 1 0.250113 0.749887 0.617082 0 0.617082 0.855179
r1-c6 21 1 0.276075 0.723925 1.01619 0 1.01619 1.30793
r1-c6 22 1 0.30416 0.69584 0.506579 0 0.506579 0.602931
r1-c6 23 1 0.334936 0.665064 1.04979 0 1.04979 1.14827
r1-c6 24 1 0.368914 0.631086 1.35523 0 1.35523 1.35142
r1-c6 25 1 0.406452 0.593548 0.267354 0 0.267354 0.240696
r1-c6 26 1 0.447635 0.552365 0.313149 0 0.313149 0.251702
r1-c6 27 1 0.492201 0.507799 1.254 0 1.254 0.88892
r1-c6 28 1 0.539486 0.460514 0.363335 0 0.363335 0.224228
r1-c6 29 1 0.588455 0.411545 0.303227 0 0.303227 0.160788
r1-c6 30 1 1 0 0.312799 0 0.312799 -0
r1-c7 1 0 0 0 0 0 0 -0
r1-c7 2 0 0 0 0 0 0 -0
r1-c7 3 0 0 0 0 0 0 -0
r1-c7 4 0 0 0 0 0 0 -0
r1-c7 5 0 0.0759774 -0.0759774 0 0 0 -0
r1-c7 6 0 0.027795 -0.027795 0 0 0 -0
r1-c7 7 0 0.0314332 -0.0314332 0 0 0 -0
r1-c7 8 0 0.0387213 -0.0387213 0 0 0 -0
r1-c7 9 0 0.0478747 -0.0478747 0 0 0 -0
r1-c7 10 0 0.0588043 -0.0588043 0 0 0 -0
r1-c7 11 0 0.0715723 -0.0715723 0 0 0 -0
r1-c7 12 0 0.086211 -0.086211 0 0 0 -0
r1-c7 13 1 0.102682 0.897318 0.351374 0 0.351374 0.799768
r1-c7 14 0 0.120869 -0.120869 0.00564559 0 0.00564559 0.000727274
r1-c7 15 1 0.14059 0.85941 0.895056 0 0.895056 1.75601
r1-c7 16 1 0.161638 0.838362 0.875074 0 0.875074 1.59473
r1-c7 17 1 0.183839 0.816161 0.928122 0 0.928122 1.57195
r1-c7 18 1 0.207127 0.792873 1.53171 0 1.53171 2.41157
r1-c7 19 1 0.23159 0.76841 0.695603 0 0.695603 1.01752
r1-c7 20 1 0.257496 0.742504 0.903584 0 0.903584 1.22594
r1-c7 21 1 0.285266 0.714734 1.68663 0 1.68663 2.11559
r1-c7 22 0 0.315417 -0.315417 0.0348463 0 0.0348463 0.0132048
r1-c7 23 1 0.348477 0.651523 0.536704 0 0.536704 0.565784
r1-c7 24 1 0.38488 0.61512 0.430556 0 0.430556 0.411106
r1-c7 25 1 0.424851 0.575149 0.478921 0 0.478921 0.409965
r1-c7 26 0 0.468307 -0.468307 0 0 0 -0
r1-c7 27 0 0.514784 -0.514784 0 0 0 -0
r1-c7 28 1 0.563424 0.436576 0.333738 0 0.333738 0.191473
r1-c7 29 0 0.613039 -0.613039 0 0 0 -0
r1-c7 30 1 1 0 0.410914 0 0.410914 -0
r2-c5 1 0 0 0 0 0 0 -0
r2-c5 2 0 0 0 0 0 0 -0
r2-c5 3 0 0 0 0 0 0 -0
r2-c5 4 0 0 0 0 0 0 -0
r2-c5 5 0 0.0759774 -0.0759774 0 0 0 -0
r2-c5 6 0 0.0300465 -0.0300465 0 0 0 -0
