[MCMC_samples]
report.type: MCMC_samples
mcmc_samples:
catchability[CPUEq].q preference_function[ImmatureDistance].lambda preference_function[ImmatureDepth].a50 preference_function[ImmatureDepth].ato95 preference_function[ImmatureLatitude].a50 preference_function[ImmatureLatitude].ato95 preference_function[MatureDistance].lambda preference_function[MatureDepth].mu preference_function[MatureDepth].sigma_l preference_function[MatureDepth].sigma_r preference_function[MatureLatitude].a50 preference_function[MatureLatitude].ato95 selectivity[FishingSel].a50 selectivity[FishingSel].ato95 selectivity[Maturation].a50 selectivity[Maturation].ato95 process[BHrecruitment].r0
0.000108229 0.0134586 4908.1 3990.81 70.6312 7.56538 0.00617943 4991.76 2341.25 5880.86 60.1591 29.6939 12.4983 6.27018 15.2266 10.8601 9.93062e+006
0.000108659 0.0134519 4908.3 3990.86 70.6344 7.56973 0.00617757 4991.78 2341.93 5890.11 60.1809 29.6949 12.5024 6.25289 15.2415 10.8781 9.93061e+006
0.000107403 0.0134595 4907.07 3990.83 70.6314 7.58989 0.00618201 4991.73 2343.01 5889.2 60.188 29.6955 12.502 6.25383 15.2432 10.8747 9.93097e+006
0.000110604 0.013457 4906.64 3990.84 70.6297 7.58875 0.00617836 4991.72 2344.59 5889.24 60.1827 29.6963 12.5028 6.25414 15.2441 10.8907 9.93106e+006
0.000109164 0.0134371 4908.2 3993.34 70.6258 7.59924 0.00616818 4991.89 2349.74 5890.92 60.1811 29.6972 12.4994 6.25187 15.2399 10.9096 9.93063e+006
0.000107519 0.0134353 4905.84 3992.29 70.6243 7.59695 0.00617028 4991.7 2349.46 5890.48 60.1823 29.6985 12.4995 6.25244 15.2402 10.9193 9.93133e+006
0.000108718 0.0134339 4905.85 3992.48 70.6203 7.59209 0.00617636 4991.73 2350.24 5892.25 60.1869 29.6989 12.5014 6.2346 15.252 10.8853 9.93134e+006
0.000110901 0.0134231 4905.74 3993.56 70.6174 7.59674 0.00617284 4991.76 2353.29 5893.01 60.1849 29.7002 12.5002 6.23227 15.2474 10.9031 9.93139e+006
0.000109348 0.0134252 4899.65 3990.45 70.6125 7.59111 0.00617369 4991.27 2351.03 5890.99 60.1855 29.7032 12.4983 6.23029 15.2488 10.9018 9.93317e+006
0.000110957 0.0134252 4899.42 3989.81 70.6149 7.58539 0.00617617 4991.22 2347.52 5890.12 60.1796 29.7029 12.4963 6.22823 15.2464 10.8959 9.93326e+006
0.000110099 0.0134293 4898.52 3989.3 70.612 7.5821 0.006179 4991.16 2349.65 5889.49 60.1763 29.7034 12.4965 6.23091 15.2467 10.8947 9.93351e+006
0.000111508 0.0134281 4899.13 3989.53 70.6099 7.5779 0.00618037 4991.24 2351.36 5889.6 60.1751 29.7034 12.4964 6.23085 15.2462 10.8906 9.93331e+006
0.000112998 0.0134342 4898.85 3989.27 70.6074 7.57459 0.00619341 4991.18 2350.55 5889.59 60.1696 29.7032 12.4972 6.23262 15.2496 10.893 9.93331e+006
0.000109428 0.013428 4898.37 3989.12 70.6047 7.57451 0.00619766 4991.13 2350.97 5889.63 60.1684 29.7042 12.4954 6.23015 15.2491 10.8939 9.93358e+006
0.000110419 0.0134151 4896.39 3988.36 70.6091 7.58355 0.00619812 4990.96 2351.34 5889.45 60.1703 29.7055 12.4965 6.22949 15.2484 10.8998 9.93421e+006
0.000111103 0.0134142 4896.26 3988.26 70.6086 7.58271 0.00619705 4990.97 2352.03 5889.83 60.1711 29.7057 12.4962 6.22821 15.2489 10.8999 9.93429e+006
0.000108865 0.0134152 4898.93 3989.82 70.5981 7.56683 0.00620128 4991.2 2354.91 5891.47 60.1729 29.7036 12.4963 6.23286 15.2541 10.8996 9.93361e+006
0.000106421 0.0134139 4898.95 3988.67 70.5989 7.55633 0.0062098 4991.13 2351.29 5890.77 60.1738 29.7023 12.4996 6.23478 15.2601 10.8795 9.93363e+006
0.000108879 0.0134159 4891.35 3985.21 70.5977 7.56031 0.00620868 4990.57 2351.69 5888.01 60.1669 29.7068 12.5026 6.23439 15.2583 10.8777 9.93585e+006
0.000108921 0.0134092 4895.25 3987.04 70.6006 7.56149 0.00619772 4990.89 2353.53 5889.65 60.1683 29.7048 12.4997 6.23214 15.2605 10.879 9.93473e+006
0.000110786 0.013406 4894.93 3987.48 70.6009 7.56504 0.00619419 4990.85 2352.98 5890.01 60.1815 29.7049 12.4993 6.23188 15.2605 10.893 9.93486e+006
0.000107994 0.0134102 4896.72 3988.74 70.608 7.57857 0.00615561 4991.14 2356 5889.88 60.1793 29.7043 12.4993 6.23154 15.2512 10.8954 9.93427e+006
0.000114694 0.0134144 4896 3988.36 70.6057 7.57297 0.00616208 4991.07 2356.27 5889.95 60.1796 29.7046 12.5001 6.23195 15.2521 10.8976 9.93446e+006
0.000107855 0.0134158 4896.54 3988.61 70.6071 7.57276 0.00616178 4991.1 2355.78 5889.29 60.1788 29.704 12.4982 6.23276 15.2512 10.8975 9.93431e+006
0.000109924 0.0134231 4896.73 3988.74 70.5948 7.5585 0.00616117 4991.2 2359.59 5889.52 60.1677 29.7049 12.499 6.22275 15.2563 10.8707 9.93425e+006
0.000109266 0.0134279 4896.16 3988.38 70.5968 7.56051 0.00615894 4991.17 2359.6 5889.32 60.167 29.705 12.4965 6.22034 15.2572 10.8711 9.93448e+006
0.000112024 0.0134128 4897.93 3989.33 70.6014 7.56806 0.00615999 4991.3 2360.18 5889.9 60.1686 29.7042 12.4978 6.22081 15.2556 10.8666 9.9341e+006
0.000110986 0.0134178 4898.69 3989.75 70.6006 7.57994 0.00616195 4991.36 2359.17 5888.2 60.1663 29.7033 12.4971 6.22504 15.2564 10.8584 9.93387e+006
0.000107841 0.0134196 4903.92 3992.1 70.5975 7.57322 0.00616277 4991.77 2358.76 5889.86 60.1699 29.7003 12.4962 6.22532 15.2569 10.8531 9.93233e+006
0.000110078 0.013423 4906.7 3993.25 70.599 7.57177 0.00615857 4992 2358.59 5890.33 60.1684 29.6986 12.4961 6.22545 15.2576 10.8449 9.9315e+006
0.000108855 0.0134175 4906.27 3992.22 70.6023 7.56825 0.00616104 4991.9 2355.12 5889.66 60.1691 29.6982 12.4955 6.22351 15.2595 10.8309 9.93172e+006
0.000108579 0.0134196 4905.07 3991.7 70.6012 7.56894 0.00615907 4991.8 2354 5889.15 60.1698 29.6989 12.4929 6.22113 15.2571 10.8337 9.93207e+006
0.000108329 0.0134184 4904.69 3991.54 70.6003 7.56843 0.00615792 4991.77 2353.74 5888.88 60.1749 29.6986 12.493 6.22548 15.2583 10.8366 9.93218e+006
0.000109463 0.0134261 4904.69 3991.51 70.5962 7.56288 0.00616134 4991.76 2352.55 5889.25 60.1729 29.6986 12.4925 6.22449 15.2592 10.844 9.93223e+006
0.000109267 0.0134168 4904.7 3991.63 70.6011 7.57466 0.00616645 4991.73 2352.55 5889.35 60.1732 29.6987 12.4927 6.22388 15.263 10.8433 9.93225e+006
0.000109822 0.0134124 4904.74 3991.58 70.6025 7.5725 0.00618031 4991.68 2352.86 5889.3 60.1715 29.6986 12.4921 6.22488 15.2627 10.8471 9.93228e+006
0.00010943 0.0134115 4905.25 3991.88 70.6027 7.57226 0.00618927 4991.7 2354.86 5889.94 60.1714 29.6985 12.49 6.22424 15.2632 10.8477 9.9321e+006
0.00010743 0.0134305 4910.36 3994.04 70.6061 7.57101 0.006192 4992.1 2355.59 5891.55 60.1713 29.6956 12.4885 6.22271 15.2638 10.8467 9.93059e+006
